City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Savelugu,GH,2021-06-14 19:51:48,9.6244,-0.8253,86.92,53,66,7.09
256,Inongo,CD,2021-06-14 19:51:49,-1.95,18.2667,74.14,66,100,1.45
257,Arraial Do Cabo,BR,2021-06-14 19:50:19,-22.9661,-42.0278,73.26,56,0,4.61
258,Asyut,EG,2021-06-14 19:50:03,27.181,31.1837,84.38,26,3,7.99
259,Ochakiv,UA,2021-06-14 19:51:49,46.6128,31.5498,66.38,82,7,6.89
260,Lulea,SE,2021-06-14 19:51:50,65.5842,22.1547,51.87,93,75,9.22
261,Tiksi,RU,2021-06-14 19:51:50,71.6872,128.8694,46.4,55,100,15.48
262,Gambo,CF,2021-06-14 19:51:50,4.6482,22.2633,71.6,89,17,0.74
263,Husavik,IS,2021-06-14 19:51:50,66.0449,-17.3389,39.11,71,96,8.68
264,Airai,TL,2021-06-14 19:51:51,-8.9266,125.4092,56.1,82,34,1.41
265,Vodnyy,RU,2021-06-14 19:51:51,63.5046,53.4095,59.99,92,48,7.27
266,Takayama,JP,2021-06-14 19:51:52,36.1333,137.25,63.5,98,50,1.25
267,Gravdal,NO,2021-06-14 19:51:52,68.1214,13.5031,46.08,88,100,7.29
268,Conceicao Do Araguaia,BR,2021-06-14 19:51:52,-8.2578,-49.2647,89.73,51,0,9.22
269,Hami,CN,2021-06-14 19:51:53,42.8,93.45,65.66,35,100,14.34
270,Kemi,FI,2021-06-14 19:51:53,65.8596,24.8228,56.97,72,0,9.22
271,Tilichiki,RU,2021-06-14 19:51:54,60.4667,166.1,48.61,72,34,5.37
272,Kurmanayevka,RU,2021-06-14 19:51:54,52.5093,52.0675,66.16,88,100,7.56
273,Fort Nelson,CA,2021-06-14 19:51:54,58.8053,-122.7002,71.19,43,75,4.61
274,Angoche,MZ,2021-06-14 19:51:55,-16.2325,39.9086,70.05,74,4,8.32
275,Mogadishu,SO,2021-06-14 19:49:24,2.0371,45.3438,78.3,84,99,17.16
276,Vao,NC,2021-06-14 19:51:55,-22.6667,167.4833,72.97,81,13,11.7
277,Tafresh,IR,2021-06-14 19:51:55,34.692,50.013,71.17,13,0,0.63
278,Ambilobe,MG,2021-06-14 19:51:56,-13.2,49.05,69.78,94,0,2.62
279,Severo-Kurilsk,RU,2021-06-14 19:51:56,50.6789,156.125,45.16,87,0,3.27
280,Changji,CN,2021-06-14 19:51:56,44.0167,87.3167,63.39,34,0,11.18
281,Luderitz,NA,2021-06-14 19:51:57,-26.6481,15.1594,61.03,70,100,5.5
282,Ashland,US,2021-06-14 19:51:57,40.8167,-82.2665,78.75,56,45,11.01
283,Westport,US,2021-06-14 19:47:32,41.1415,-73.3579,73.2,89,90,1.01
284,Suez,EG,2021-06-14 19:51:58,29.9737,32.5263,73.27,64,0,10.83
285,Port-Gentil,GA,2021-06-14 19:51:58,-0.7193,8.7815,80.56,83,40,8.05
286,Whitehorse,CA,2021-06-14 19:51:58,60.7161,-135.0538,65.1,45,75,3.0
287,Paysandu,UY,2021-06-14 19:51:59,-32.3214,-58.0756,69.6,64,6,5.61
288,Storforshei,NO,2021-06-14 19:51:59,66.4043,14.5233,49.78,93,75,2.3
289,Wuda,CN,2021-06-14 19:51:59,39.4994,106.7117,73.71,45,56,2.01
290,Nelson Bay,AU,2021-06-14 19:52:00,-32.7167,152.15,48.96,90,1,11.72
291,Chepareria,KE,2021-06-14 19:52:00,1.3077,35.2039,59.92,81,99,5.66
292,Nome,US,2021-06-14 19:51:14,64.5011,-165.4064,49.15,87,90,12.66
